sample	major_label	Adipocyte	Cardiomyocyte	Cycling cells	Endothelial	Fibroblast	Lymphoid	Mast	Myeloid	Neuronal	Pericyte	vSMCs
CK158	BZ	0	0	0	0	0	0	0	0	0	0	0
CK158	CTRL	2	3880	92	1935	3024	140	34	1340	142	706	121
CK158	FZ	0	0	0	0	0	0	0	0	0	0	0
CK158	IZ	0	0	0	0	0	0	0	0	0	0	0
CK158	RZ	0	0	0	0	0	0	0	0	0	0	0
CK159	BZ	0	0	0	0	0	0	0	0	0	0	0
CK159	CTRL	0	0	0	0	0	0	0	0	0	0	0
CK159	FZ	7	2653	17	2460	2951	73	6	518	106	853	173
CK159	IZ	0	0	0	0	0	0	0	0	0	0	0
CK159	RZ	0	0	0	0	0	0	0	0	0	0	0
CK160	BZ	11	3813	47	750	2665	229	11	1240	118	358	59
CK160	CTRL	0	0	0	0	0	0	0	0	0	0	0
CK160	FZ	0	0	0	0	0	0	0	0	0	0	0
CK160	IZ	0	0	0	0	0	0	0	0	0	0	0
CK160	RZ	0	0	0	0	0	0	0	0	0	0	0
CK161	BZ	0	0	0	0	0	0	0	0	0	0	0
CK161	CTRL	0	0	0	0	0	0	0	0	0	0	0
CK161	FZ	0	0	0	0	0	0	0	0	0	0	0
CK161	IZ	1	110	26	115	82	61	0	150	9	16	11
CK161	RZ	0	0	0	0	0	0	0	0	0	0	0
CK162	BZ	0	0	0	0	0	0	0	0	0	0	0
CK162	CTRL	0	0	0	0	0	0	0	0	0	0	0
CK162	FZ	4	54	25	1435	714	49	0	83	37	121	97
CK162	IZ	0	0	0	0	0	0	0	0	0	0	0
CK162	RZ	0	0	0	0	0	0	0	0	0	0	0
CK163	BZ	4	4990	30	1861	2133	158	13	585	140	840	156
CK163	CTRL	0	0	0	0	0	0	0	0	0	0	0
CK163	FZ	0	0	0	0	0	0	0	0	0	0	0
CK163	IZ	0	0	0	0	0	0	0	0	0	0	0
CK163	RZ	0	0	0	0	0	0	0	0	0	0	0
CK164	BZ	0	0	0	0	0	0	0	0	0	0	0
CK164	CTRL	0	0	0	0	0	0	0	0	0	0	0
CK164	FZ	0	0	0	0	0	0	0	0	0	0	0
CK164	IZ	0	0	0	0	0	0	0	0	0	0	0
CK164	RZ	175	3243	17	1023	4305	325	30	1110	147	324	96
CK165	BZ	0	0	0	0	0	0	0	0	0	0	0
CK165	CTRL	0	0	0	0	0	0	0	0	0	0	0
CK165	FZ	0	0	0	0	0	0	0	0	0	0	0
CK165	IZ	1	1140	27	298	188	14	0	105	6	75	43
CK165	RZ	0	0	0	0	0	0	0	0	0	0	0
CK356	BZ	0	0	0	0	0	0	0	0	0	0	0
CK356	CTRL	0	0	0	0	0	0	0	0	0	0	0
CK356	FZ	0	0	0	0	0	0	0	0	0	0	0
CK356	IZ	0	0	0	0	0	0	0	0	0	0	0
CK356	RZ	2	4346	99	1932	2531	156	23	661	261	1143	96
CK357	BZ	0	0	0	0	0	0	0	0	0	0	0
CK357	CTRL	3	6478	37	1158	1370	107	49	540	125	729	86
CK357	FZ	0	0	0	0	0	0	0	0	0	0	0
CK357	IZ	0	0	0	0	0	0	0	0	0	0	0
CK357	RZ	0	0	0	0	0	0	0	0	0	0	0
CK358	BZ	0	0	0	0	0	0	0	0	0	0	0
CK358	CTRL	8	3956	27	1941	3103	147	56	672	206	635	122
CK358	FZ	0	0	0	0	0	0	0	0	0	0	0
CK358	IZ	0	0	0	0	0	0	0	0	0	0	0
CK358	RZ	0	0	0	0	0	0	0	0	0	0	0
CK359	BZ	0	0	0	0	0	0	0	0	0	0	0
CK359	CTRL	0	0	0	0	0	0	0	0	0	0	0
CK359	FZ	0	0	0	0	0	0	0	0	0	0	0
CK359	IZ	0	0	0	0	0	0	0	0	0	0	0
CK359	RZ	10	4796	30	2101	1280	215	16	710	108	971	162
CK360	BZ	0	0	0	0	0	0	0	0	0	0	0
CK360	CTRL	0	0	0	0	0	0	0	0	0	0	0
CK360	FZ	0	0	0	0	0	0	0	0	0	0	0
CK360	IZ	0	0	0	0	0	0	0	0	0	0	0
CK360	RZ	7	8269	14	2173	1955	184	29	679	299	838	115
CK361	BZ	0	0	0	0	0	0	0	0	0	0	0
CK361	CTRL	0	0	0	0	0	0	0	0	0	0	0
CK361	FZ	0	0	0	0	0	0	0	0	0	0	0
CK361	IZ	4	999	533	743	1776	220	8	1348	47	317	48
CK361	RZ	0	0	0	0	0	0	0	0	0	0	0
CK362	BZ	0	0	0	0	0	0	0	0	0	0	0
